home_team,away_team,home_odds,away_odds,draw_odds
Anaheim Ducks,Arizona Coyotes,2.85,2.21,4.5
Columbus Blue Jackets,Tampa Bay Lightning,3.25,2.02,4.7
Detroit Red Wings,Florida Panthers,2.65,2.3,4.6
NY Rangers,Carolina Hurricanes,2.43,2.55,4.35
Ottawa Senators,Los Angeles Kings,2.48,2.48,4.55
Washington Capitals,NY Islanders,2.56,2.38,4.4
Boston Bruins,Toronto Maple Leafs,2.48,2.45,4.4
Minnesota Wild,New Jersey Devils,2.55,2.43,4.6
Edmonton Oilers,Dallas Stars,2.13,3.1,4.75
Arizona Coyotes,Montreal Canadiens,2.32,2.65,4.5
Seattle Kraken,Nashville Predators,2.32,2.65,4.4
Vegas Golden Knights,Winnipeg Jets,2.15,2.88,4.4
San Jose Sharks,Vancouver Canucks,4.0,1.7,4.9
Buffalo Sabres,Philadelphia Flyers,1.96,3.25,4.6
St. Louis Blues,New Jersey Devils,3.0,2.1,4.5
Edmonton Oilers,Nashville Predators,1.9,3.4,4.65
Arizona Coyotes,Winnipeg Jets,2.81,2.25,4.33
Ottawa Senators,Tampa Bay Lightning,2.38,2.55,4.6
Toronto Maple Leafs,Buffalo Sabres,1.83,3.85,4.95
Washington Capitals,Columbus Blue Jackets,2.08,3.0,4.6
St. Louis Blues,Montreal Canadiens,2.35,2.6,4.5
Detroit Red Wings,Boston Bruins,2.9,2.16,4.4
Philadelphia Flyers,Los Angeles Kings,3.45,2.0,4.65
NY Islanders,Carolina Hurricanes,2.75,2.3,4.4
Chicago Blackhawks,Florida Panthers,3.6,1.85,4.65
Minnesota Wild,NY Rangers,2.43,2.69,4.55
Seattle Kraken,Calgary Flames,2.35,2.75,4.45
San Jose Sharks,Pittsburgh Penguins,4.33,1.67,5.0
Vancouver Canucks,Dallas Stars,2.63,2.32,4.45
Vegas Golden Knights,Colorado Avalanche,2.6,2.37,4.4
Chicago Blackhawks,New Jersey Devils,3.7,1.78,4.55
Anaheim Ducks,Vegas Golden Knights,3.3,1.93,4.4
Florida Panthers,Columbus Blue Jackets,1.71,4.1,4.9
Toronto Maple Leafs,Tampa Bay Lightning,2.06,3.05,4.7
Dallas Stars,Boston Bruins,2.1,3.0,4.35
Vancouver Canucks,Edmonton Oilers,2.43,2.4,4.7
Carolina Hurricanes,Buffalo Sabres,1.73,4.1,4.95
Montreal Canadiens,Tampa Bay Lightning,2.85,2.18,4.65
NY Islanders,Minnesota Wild,2.4,2.55,4.4
NY Rangers,Detroit Red Wings,2.13,3.13,4.65
St. Louis Blues,Winnipeg Jets,2.9,2.16,4.45
Arizona Coyotes,Seattle Kraken,2.45,2.48,4.45
Calgary Flames,Nashville Predators,2.24,2.75,4.4
Anaheim Ducks,Pittsburgh Penguins,3.4,1.91,4.75
Colorado Avalanche,New Jersey Devils,1.89,3.7,4.65
San Jose Sharks,Philadelphia Flyers,3.95,1.75,4.9
Toronto Maple Leafs,Ottawa Senators,1.93,3.25,4.75
Washington Capitals,Florida Panthers,2.95,2.1,4.55
Vegas Golden Knights,Los Angeles Kings,2.28,2.7,4.3
Boston Bruins,NY Islanders,2.17,3.02,4.3
Detroit Red Wings,Montreal Canadiens,1.89,3.5,4.7
NY Rangers,Minnesota Wild,2.29,2.7,4.4
